RL_Reward,RL_Final_Inventory
57.969999999999914,0
39.189999999999955,0
52.860000000000035,1
36.98499999999995,-1
53.89500000000003,1
60.869999999999976,0
49.539999999999864,0
57.009999999999955,2
26.27999999999989,1
28.960000000000008,0
46.25000000000004,0
73.68000000000019,-2
68.68,1
72.00500000000004,1
30.900000000000006,0
70.14499999999988,-1
38.890000000000036,2
73.20000000000017,0
60.8,0
51.37499999999999,1
58.440000000000026,0
32.999999999999936,1
26.270000000000024,0
57.985000000000106,1
68.93999999999988,0
54.83999999999991,1
63.69000000000019,-1
26.090000000000167,2
61.40000000000003,-1
33.31499999999999,1
77.52,1
41.81499999999996,-1
73.70500000000014,1
11.029999999999966,2
34.25000000000004,0
25.319999999999954,1
56.940000000000104,1
53.66499999999996,-1
45.150000000000006,0
46.440000000000026,0
28.294999999999977,1
58.50999999999987,2
40.43999999999992,1
55.12999999999994,0
23.679999999999982,1
42.58500000000006,1
56.46999999999998,1
46.074999999999996,1
28.71999999999993,1
38.02999999999997,0
56.14499999999986,1
28.590000000000003,0
33.299999999999926,0
30.41000000000004,0
83.28999999999967,0
50.33999999999998,1
45.05500000000014,-1
45.87500000000008,1
41.72499999999999,1
49.51499999999999,1
31.8,1
45.16000000000007,0
35.73999999999992,1
71.47000000000017,0
73.33500000000019,-1
37.83000000000007,0
48.660000000000075,2
43.56000000000008,-1
75.06999999999998,1
41.960000000000036,0
60.75000000000007,0
67.3999999999998,0
34.97999999999999,0
46.85000000000009,1
62.685000000000066,1
39.245000000000026,1
39.44999999999992,0
65.92999999999995,0
39.90999999999999,2
49.179999999999964,0
31.63000000000004,-1
63.71000000000002,0
57.70999999999995,0
41.84999999999998,0
40.51499999999998,-1
58.63999999999989,0
61.28999999999998,0
17.87999999999994,0
69.7,-1
69.53000000000004,0
41.55500000000014,-1
52.52999999999993,0
16.069999999999965,0
39.35000000000005,0
46.83000000000001,0
27.110000000000003,1
60.879999999999924,0
35.339999999999925,1
71.38999999999994,-2
65.40000000000023,0
72.15000000000005,0
75.46500000000007,1
67.6899999999999,0
66.20000000000012,2
59.1199999999999,1
69.12999999999998,-2
46.80000000000006,1
70.71999999999976,0
80.23500000000008,1
28.794999999999977,1
50.1950000000001,1
29.46499999999992,-1
73.3100000000002,0
31.499999999999908,2
45.49000000000004,0
58.00499999999997,3
41.98000000000003,0
55.47499999999999,1
42.14999999999996,0
43.33000000000004,0
41.82999999999995,2
58.80999999999996,0
51.499999999999964,2
43.13000000000012,0
36.319999999999936,0
48.13000000000002,2
24.224999999999913,1
34.98999999999992,1
43.39999999999995,0
43.120000000000026,1
22.43500000000002,1
26.245000000000022,1
65.78,0
47.584999999999916,1
58.30999999999987,-1
38.51499999999995,1
23.209999999999997,1
44.57000000000015,0
63.29999999999997,0
29.420000000000034,1
54.960000000000115,1
30.50000000000003,0
26.830000000000016,1
49.360000000000106,1
62.17499999999999,-1
31.75,0
34.560000000000045,0
45.069999999999986,-2
52.93999999999997,0
32.23999999999998,0
72.83999999999995,0
67.2399999999999,0
34.935000000000024,1
49.14000000000014,0
65.42999999999994,-2
17.230000000000032,0
46.840000000000195,1
23.37999999999998,0
20.635000000000094,1
26.57999999999994,0
44.74999999999996,0
19.67,0
15.300000000000045,-1
42.62000000000002,0
52.13000000000001,0
67.14999999999993,2
27.244999999999994,1
24.329999999999988,-1
59.4649999999999,1
44.63499999999997,1
54.370000000000076,0
37.80999999999999,0
54.55000000000011,0
54.62999999999997,0
41.69500000000006,1
52.06499999999982,-1
32.019999999999946,-2
52.59000000000002,0
29.269999999999996,0
41.97000000000003,0
63.25500000000013,-1
47.129999999999974,-1
62.52000000000004,0
55.200000000000095,-1
39.73000000000007,2
61.30000000000015,0
21.879999999999956,1
26.030000000000015,0
47.01000000000012,0
70.32000000000004,1
56.69000000000029,1
73.49000000000005,-1
24.550000000000068,0
71.80999999999986,0
31.76000000000001,1
34.07999999999991,0
57.535000000000075,1
57.83000000000004,0
44.84499999999995,1
57.02500000000003,1
35.915,1
38.84999999999999,-2
42.31000000000006,0
55.300000000000054,0
24.35500000000008,-1
36.96,1
34.26500000000002,1
64.04999999999997,1
45.69999999999996,0
34.93000000000006,1
38.76999999999998,0
49.98000000000005,0
43.16,0
49.73999999999986,1
74.8549999999999,1
20.830000000000027,0
58.61,0
66.03500000000007,1
87.47999999999992,1
42.11000000000007,0
43.73999999999997,0
35.23499999999995,-1
35.90500000000011,1
73.4499999999999,0
33.07000000000008,0
63.41999999999991,-1
33.22999999999996,0
50.57999999999997,0
55.210000000000115,-1
50.36000000000008,1
85.48000000000012,-2
40.28499999999995,-1
34.08999999999996,0
43.739999999999945,2
31.529999999999973,0
39.59500000000002,-1
44.13000000000001,0
31.569999999999986,2
67.28500000000018,1
88.70000000000009,0
35.709999999999944,2
68.11999999999995,0
38.26000000000006,0
29.49000000000004,1
17.815000000000072,1
36.68999999999997,0
18.83,0
46.60000000000002,0
69.48000000000003,-6
14.490000000000009,0
40.620000000000154,1
60.70000000000004,2
40.57999999999995,1
32.45999999999998,0
35.66999999999997,0
46.040000000000006,0
38.15000000000025,0
54.509999999999984,1
62.69000000000002,-1
47.74499999999997,1
41.96000000000013,1
50.46499999999987,-1
44.05000000000012,-1
33.78500000000002,1
26.424999999999887,1
33.725,1
47.20499999999992,-1
49.72500000000003,1
35.28500000000011,-3
48.29000000000003,1
42.860000000000014,0
67.77999999999993,2
45.809999999999874,0
37.30499999999993,1
39.56999999999998,0
34.36000000000006,2
39.890000000000036,1
59.71000000000016,-1
73.06000000000003,0
57.764999999999965,1
17.860000000000085,0
51.44500000000017,1
50.89000000000015,1
27.23000000000006,0
60.70999999999979,1
51.215000000000025,-1
25.74000000000007,1
20.714999999999964,1
65.15000000000015,0
41.459999999999994,0
41.20999999999997,1
73.67499999999983,-1
50.695000000000114,-1
40.260000000000076,0
45.08999999999989,0
50.74,2
48.959999999999965,0
46.42999999999996,1
44.0850000000001,1
52.08499999999997,1
51.3700000000002,0
28.854999999999865,1
91.79000000000006,0
51.470000000000134,1
50.04000000000008,0
31.56999999999997,-1
26.844999999999974,-1
42.1900000000001,0
22.519999999999985,-1
75.46000000000005,0
49.50000000000005,2
58.97500000000007,-1
60.02499999999991,-1
56.5849999999999,1
83.2299999999998,1
42.31000000000002,0
17.479999999999947,0
79.66500000000003,1
43.21500000000012,3
61.264999999999894,1
85.95000000000006,0
51.550000000000104,-1
52.00000000000008,-1
69.46999999999996,0
61.10000000000012,0
19.37999999999998,0
46.48499999999995,1
67.0099999999999,0
60.60000000000038,0
40.935000000000066,1
75.53999999999992,2
31.28000000000003,0
48.70999999999992,0
36.33999999999999,0
47.929999999999986,1
29.269999999999968,0
67.54999999999995,0
32.154999999999994,1
47.16999999999997,0
41.49999999999988,2
73.13999999999974,0
30.059999999999974,0
50.055000000000085,1
56.4000000000001,1
46.414999999999914,1
35.550000000000075,1
34.34500000000012,-1
23.069999999999997,-1
38.87999999999996,1
24.300000000000026,0
33.79500000000004,-1
50.29500000000005,-1
57.95000000000003,0
46.71,1
41.69000000000001,0
44.800000000000125,0
37.57000000000005,0
33.92999999999999,0
25.330000000000044,1
36.584999999999944,-1
48.90499999999992,-1
29.770000000000095,0
32.00499999999997,3
55.85499999999991,1
36.34499999999992,1
71.74499999999999,1
57.14500000000003,-1
30.035000000000057,1
41.36999999999997,2
21.48499999999996,1
40.130000000000024,0
36.35999999999998,-2
45.92999999999998,0
39.57000000000008,0
26.569999999999993,0
48.24999999999995,1
49.379999999999924,0
50.09000000000001,1
47.864999999999846,1
58.52000000000014,0
62.464999999999954,1
34.184999999999995,1
43.7549999999999,1
30.939999999999955,0
42.529999999999845,0
26.570000000000054,1
45.18999999999997,0
49.66999999999995,-1
62.10500000000027,-1
53.380000000000024,0
34.150000000000034,0
40.51000000000002,0
57.98000000000005,0
53.370000000000175,0
49.44000000000001,0
42.92999999999999,0
42.835,-1
71.63000000000011,0
